Date,qaqc.check,sampleid,sample_type,farm,treatment,initialweight_g,filtered_volume_ml,final_weight_g,TSS_mgl,TUR_ntu,tur.std.check,NO3.NO2_mgl,TKN_mgl,TN_mgl,tn.std.check,TIP_mgl,tip.std.check,NH3_mgl,nh3.std.check,OrthoP_mgl,orthop.std.check,NOx_mgl,nox.std.check,NO2_mgl,no2.std.check,NO3_mgl,event_disch_l,acft_discharge,in_runoff_ac,TSS_kg,TN_kg,TIP_kg,TSS_lb,TN_lb,TIP_lb,TSS_lbac,TN_lbac,TIP_lbac,dissolvedO2_mg_l,dissolvedO2_sat_per,turbidity_sonde_ntu,watertemp_c
2/5/2018,FALSE,MUR1,EOF,MUR,CCMT,0.0796,20,0.1053,1285,221,FALSE,0.891,1.51,2.4,FALSE,3.03,FALSE,0.0508,TRUE,0.205,TRUE,0.287,FALSE,-0.0314,TRUE,0.262,746149.2,0.605008369,0.381307795,958.801722,1.79075808,2.260832076,2113.774276,3.947905263,4.984230395,111.0175565,0.207347966,0.261776806,,,,
2/5/2018,FALSE,MUR2,EOF,MUR,FBM,0.0948,50,0.1118,340,302,FALSE,5.59,0,5.5,FALSE,3.06,FALSE,-0.0208,TRUE,0.115,TRUE,4.71,FALSE,-0.0257,TRUE,4.685,141626.2,0.114836331,0.084490249,48.152908,0.7789441,0.433376172,106.157901,1.717260163,0.955421109,6.581394977,0.106463742,0.059232555,,,,
2/5/2018,FALSE,SIM1,EOF,SIM,CCMT,0.1057,20,0.1036,-105,223,FALSE,0.759,1.85,2.6,FALSE,2.05,FALSE,-0.0445,TRUE,0.00211,TRUE,0.0272,FALSE,-0.0369,TRUE,0.0022,200605.8,0.162659409,0.136592926,-21.063609,0.52157508,0.41124189,-46.4368324,1.149864421,0.906623871,-3.249603387,0.08046637,0.063444638,,,,
2/5/2018,FALSE,SIM2,EOF,SIM,FBM,0.0985,20,0.1096,555,434,FALSE,5.47,1.01,6.48,FALSE,2.65,FALSE,0.0758,TRUE,0.00481,TRUE,4.65,FALSE,-0.0342,TRUE,4.625,345866.7,0.280442903,0.191319775,191.9560185,2.241216216,0.916546755,423.1862384,4.94098527,2.020618976,24.05834215,0.2808974,0.114873165,,,,
2/7/2018,TRUE,MUR1,EOF,MUR,CCMT,0.0845,20,0.1005,800,576,TRUE,1.4,1.08,2.47,TRUE,1.85,TRUE,0.0655,TRUE,0.191,TRUE,0.416,FALSE,-0.037,TRUE,0.391,1901124,1.541509298,0.971539474,1520.8992,4.69577628,3.5170794,3352.974376,10.35230839,7.753753245,176.1015954,0.543713676,0.407234939,,,,
2/7/2018,TRUE,MUR2,EOF,MUR,FBM,0.1092,20,0.1157,325,2250,TRUE,4.97,1.1,6.07,TRUE,3.14,TRUE,0.0581,TRUE,0.192,TRUE,1.42,FALSE,-0.0395,TRUE,1.395,5352589,4.340098653,3.193205631,1739.591425,32.49021523,16.80712946,3835.103256,71.6279285,37.05299761,237.7621361,4.440665127,2.297148023,,,,
2/7/2018,TRUE,SCH1,EOF,SCH,CCMT,0.0785,20,0.113,1725,919,TRUE,1.8,2.43,4.23,TRUE,4.15,TRUE,0.0116,TRUE,0.396,TRUE,0.121,FALSE,-0.0312,TRUE,0.096,1279235,1.037256195,1.19914011,2206.680375,5.41116405,5.30882525,4864.847555,11.92945226,11.70383615,468.6751016,1.149272858,1.127537201,,,,
2/7/2018,TRUE,SCH2,EOF,SCH,FBM,0.1054,20,0.1209,775,1420,TRUE,2.94,3,5.94,TRUE,5.03,TRUE,0.0352,TRUE,0.653,TRUE,0.551,FALSE,-0.0308,TRUE,0.526,1532954,1.242981965,1.635502585,1188.03935,9.10574676,7.71075862,2619.151551,20.07452931,16.99913845,287.1876701,2.201154529,1.86394062,,,,
2/7/2018,TRUE,SIM1,EOF,SIM,CCMT,0.0808,20,0.1226,2090,1060,TRUE,1.56,0.98,2.54,TRUE,1.72,TRUE,0.0903,TRUE,0.192,TRUE,0.17,FALSE,-0.0334,TRUE,0.145,67448.23,0.054689791,0.045925647,140.9668007,0.171318504,0.116010956,310.7754088,0.377688774,0.255757753,21.74775429,0.026430285,0.017897673,,,,
2/7/2018,TRUE,SIM2,EOF,SIM,FBM,0.0949,20,0.1165,1080,2370,TRUE,5.61,0,5.23,FALSE,2.31,TRUE,0.0847,TRUE,0.22,TRUE,2.55,FALSE,-0.0364,TRUE,2.525,1620000,1.313562431,0.896119907,1749.6,8.4726,3.7422,3857.16816,18.67869396,8.25005412,219.2818738,1.061892778,0.469019563,,,,
