DATE/TIME,Date Analyzed,LOCCODE,ST/GRB,Alk,NH3,TSS,Nitrate,Nitrite,NN,,TP,Turbidity,DIP,TIP,TN,OrgN,TOC,COD,Cl,TKN
12/8/2011,,HN3,GRB,28.4,0.96,64,,,0.14,,0.42,,,,1.1,.,<MQL,21,62,3.7
1/19/2012,,HN3,GRB,49.0,1.19,24,,,<MQL,,0.36,,,,.,1.15,0.04,25,68,2.6
1/28/2012,,HN3,GRB,38.0,0.98,20,,,<MQL,,0.43,,,,.,.,<MQL,23,71,3.1
2/20/2012,,HN3,GRB,45.8,0.78,33,,,0.02,,0.47,,,,0.8,.,<MQL,18,81,7.3
5/16/2012,,HN3,GRB,219,.,14,,,6.94,,0.13,,,,.,.,0.88,11,28,8.6
6/6/2012,,HN3,GRB,180,3.47,63,,,0.05,,0.95,,,,3.52,2.42,1.05,22,87,8.4
7/8/2012,,HN3,GRB,248,3.95,224,,,<MQL,,1.20,,,,.,3.86,0.09,13,66,6.8
12/12/2012,,HN3,GRB,48.9,1.41,16,,,2.61,,0.53,,,,4.02,.,<MQL,16,99,18.2
2/4/2013,,HN3,GRB,39.5,1.30,10,,,0.19,,0.24,,,,1.49,.,<MQL,20,46,2.7
2/18/2013,,HN3,GRB,42.5,4.83,40,,,0.04,,0.32,,,,4.87,4.72,0.11,18,51,3.2
2/18/2013,,HN3,GRB,.,15.0,.,,,0.14,,1.01,,,,15.14,14.86,0.14,16,27,.
4/8/2013,,HN3,GRB,46.4,1.77,56,,,0.03,,0.56,,,,1.8,1.32,0.45,20,37,22.7
7/15/2013,,HN3,GRB,295,2.55,40,,,0.04,,0.39,,,,2.59,2.46,0.09,20,18,6.5
1/16/2014,,HN3,GRB,40.4,1.10,10,,,0.04,,0.38,,,,1.14,0.93,0.17,18,42,6.5
3/11/2014,,HN3,GRB,75.9,2.50,104,,,0.14,,0.58,,,,2.64,1.76,0.74,19,34,5.9
3/31/2014,,HN3,GRB,59.7,3.32,108,,,1.13,,0.67,,,,4.45,1.57,1.75,24,37,28.2
6/25/2014,,HN3,GRB,47.0,12.7,457,,,2.23,,0.56,,,,,,3.14,18,30,13.4
8/12/2014,,HN3,GRB,56.6,1.33,36,,,1.75,,0.35,,,,,,0.16,15,29,8.4
10/16/2014,,HN3,GRB,46.0,0.79,21,,,0.44,,0.39,,,,,,0.06,13,28,12.8
12/7/2014,,HN3,GRB,33.8,1.47,71,,,1.74,,1.14,,,,,,0.12,11,26,14.5
1/14/2015,,HN3,GRB,40.9,1.47,78,,,0.48,,0.61,,,,,,0.41,19,34,21.3
12/1/2010,12/3/2010,HN3,GRB,,0.155,100,0.746,0.016,0.762,0.50537985,0.997717639,356,1.55,3.06,,,,,,
1/19/2011,1/20/2011,HN3,GRB,,0.006,148,3.31,0.00485,3.31485,0.069122921,0.306488425,114,0.212,0.94,,,,,,
1/26/2011,1/27/2011,HN3,GRB,,0.031,118,1.04,0.00818,1.04818,0.147049234,0.590153244,249,0.451,1.81,,,,,,
2/16/2011,2/17/2011,HN3,GRB,,0.018,72,0.0696,0,0.0696,0.039126182,0.32050864,128,0.12,0.983,,,,,,
3/2/2011,3/3/2011,HN3,GRB,,1.39,180,0.45636,0.00864,0.465,0.042386697,0.554287577,334,0.13,1.7,,,,,,
3/7/2011,3/8/2011,HN3,GRB,,0.127,62,0.31931,0.00969,0.329,0.042386697,0.312357352,114,0.13,0.958,,,,,,
3/15/2011,3/16/2011,HN3,GRB,,0.274,73.33,0.1195,0.0055,0.125,0.123899576,0.316922074,123,0.38,0.972,,,,,,
3/30/2011,3/31/2011,HN3,GRB,,1.68,240,3.36214,0.00786,3.37,0.273883274,0.577111184,316,0.84,1.77,,,,,,
4/20/2011,4/21/2011,HN3,GRB,,1.11,500,3.313,0.167,3.48,0.277143789,0.860776003,559,0.85,2.64,,,,,,
