name,lat,long,treatment,notes,County,Project,enSpire
Porter Bayou tributary,33.58347887,-90.75450179,,instream,Sunflower,Delta FARM,
Harris Bayou tributary,34.140563,-90.65272012,,instream,Coahoma,Delta FARM,202D61
ARR 1 (1),33.74392303,-90.434174,CCMT,old,Leflore,Delta FARM,
ARR 2 (1),33.74390638,-90.43130192,FBM,old,Leflore,Delta FARM,
ARR 1 (2),33.74752342,-90.43904714,CCMT,new,Leflore,Delta FARM,
ARR 2 (2),33.74756603,-90.44100056,FBM,new,Leflore,Delta FARM,
DCDC 1,33.48973372,-90.97225092,CCMT,,Washington,Delta FARM,
DCDC 2,33.4932017,-90.9723137,FBM,,Washington,Delta FARM,
MOS 1,33.58043601,-90.78516128,CCMT,,Bolivar,Delta FARM,
MOS 2,33.58293371,-90.7855354,FBM,,Bolivar,Delta FARM,
PBR 1,33.66955161,-90.37139125,CCMT,,Leflore,Delta FARM,
PBR 2,33.67004943,-90.36769824,FBM,,Leflore,Delta FARM,
STU 1 (2),33.81771485,-90.25274128,CCMT,new,Tallahatchie,Delta FARM,
STU 2 (2),33.81947866,-90.25879426,FBM,new,Tallahatchie,Delta FARM,
STU 1 (1),33.79214105,-90.26736395,CCMT,old,Leflore,Delta FARM,
STU 2 (1),33.79559733,-90.27279541,FBM,old,Leflore,Delta FARM,
Schmidt 1,34.136394,-90.664051,CCMT,EOF,Coahoma,Joby-NIFA,
Schmidt 2,34.138861,-90.664079,FBM,EOF,Coahoma,Joby-NIFA,
Prewitt 1,33.657256,-90.675747,CCMT,EOF,Bolivar,Joby-NIFA,
Prewitt 2,33.659025,-90.675695,FBM,EOF,Bolivar,Joby-NIFA,
Muzzi 1,33.558196,-90.746709,CCMT,EOF,Sunflower,Joby-NIFA,
Muzzi 2,33.558178,-90.749435,FBM,EOF,Sunflower,Joby-NIFA,
Simmons 1,33.271185,-90.811979,CCMT,EOF,Washington,Joby-NIFA,
Simmons 2,33.272954,-90.811995,FBM,EOF,Washington,Joby-NIFA,
Murrell 1,33.276848,-90.893742,CCMT,EOF,Washington,Joby-NIFA,
Murrell 2,33.278412,-90.893726,FBM,EOF,Washington,Joby-NIFA,
Carter 1,32.894929,-90.870803,CCMT,EOF,Issaquena,Joby-NIFA,
Carter 2,32.900631,-90.870788,FBM,EOF,Issaquena,Joby-NIFA,
